id,경도,위도
0180,126.8190664,37.31515795
0072,126.8662593,37.28857641
0198,126.858478,37.28787024
0220,126.8454563,37.29995531
0023,126.858404,37.30070056
0141,126.8597934,37.30346406
0440,126.8481336,37.30560896
0071,126.8455905,37.3068779
0149,126.8467359,37.30872513
0480,126.8457586,37.30878287
0208,126.8440393,37.30592583
0214,126.8385023,37.30200125
0259,126.8276976,37.31710315
0122,126.8165522,37.30361181
0475,126.8294955,37.30490637
0325,126.8209605,37.30493087
0231,126.8206354,37.31572756
0049,126.8259136,37.31813546
0390,126.8369575,37.3189699
0107,126.8179578,37.31449426
0156,126.8376648,37.3130833
0346,126.8449332,37.31444937
0357,126.8429617,37.31452165
0165,126.8590984,37.31673125
0469,126.860777,37.31835434
0210,126.8278072,37.29230473
0076,126.8548076,37.28472978
0336,126.8474266,37.28497181
0043,126.8636377,37.28904978
0075,126.824998,37.29381246
0057,126.8666187,37.29584703
0473,126.8595263,37.29682374
0356,126.8482692,37.29965721
0407,126.8417392,37.30219332
0061,126.8434325,37.30345368
0224,126.847356,37.30462156
0463,126.8454868,37.30545992
0179,126.8435874,37.30523181
0305,126.8635557,37.3061235
0218,126.8456191,37.30720182
0195,126.8591644,37.30735425
0476,126.8587717,37.3095215
0348,126.8516288,37.30989846
0479,126.8490475,37.31328509
0236,126.8442142,37.3125084
0464,126.8453891,37.31304168
0451,126.8480138,37.31290838
0085,126.8448726,37.30444765
0360,126.8170118,37.30901609
0264,126.8256374,37.31445362
0145,126.8219346,37.31564728
0330,126.817878,37.31345871
0396,126.8180201,37.31522573
0215,126.8251757,37.31377781
0347,126.8248034,37.31460805
0376,126.8190414,37.31481632
0454,126.8305261,37.31791344
0074,126.8493017,37.3184024
0091,126.8454251,37.32037399
0104,126.8225661,37.31473302
0178,126.8490583,37.314984
0169,126.839331,37.30208948
0235,126.8638567,37.28697756
0006,126.8569444,37.28796937
0458,126.8435773,37.29712687
0418,126.8436174,37.30007765
0197,126.8608845,37.30177903
0123,126.8432997,37.3023769
0439,126.8560098,37.30541896
0105,126.860022,37.30649562
0103,126.8504967,37.30771066
0250,126.8563163,37.30765596
0251,126.8475827,37.30772287
0083,126.8503739,37.30911505
0092,126.8423775,37.30813196
0442,126.8499499,37.31191196
0181,126.8636058,37.31279853
0424,126.8485941,37.31370476
0134,126.8431518,37.3133833
0097,126.847064,37.30575087
0047,126.8386857,37.30928646
0374,126.82789,37.31260026
0460,126.8178515,37.31314878
0099,126.8180475,37.31555887
0157,126.8256732,37.31484322
0430,126.8170166,37.31527459
0034,126.8319403,37.30838381
0093,126.8491397,37.31598093
0028,126.8478023,37.29661043
0328,126.8636968,37.28363134
0461,126.8510352,37.28482823
0120,126.8661714,37.28690543
0001,126.8607361,37.29034247
0152,126.8665272,37.29408078
0277,126.8666657,37.29664256
0303,126.8475335,37.30676993
0191,126.8495736,37.30861544
