id,x,y,NODE_NAME
230,126.8209161,37.30819309,화정15교
385,126.8169669,37.30840293,산돌교회
184,126.8286525,37.30981739,고잔동805
77,126.8303079,37.31520593,하이마트사거리
287,126.82785,37.3194674,IBK미소금융재단
443,126.8406159,37.32061137,중앙중학교사거리
437,126.8243273,37.31381353,고잔동794
233,126.8348525,37.31770775,롯데백화점
119,126.818954,37.31374144,초지동769
4,126.8322028,37.31143346,고잔동819
436,126.8275532,37.30862542,고잔동809
69,126.8494183,37.32019046,성포동행정복지센터삼거리
322,126.8376388,37.31207197,속성변화점
219,126.8516609,37.28965313,시곡초등학교
205,126.8570485,37.3043565,주공5단지사거리
315,126.8522631,37.30447934,성안초교사거리
302,126.8422858,37.30705234,안산9교
402,126.8501887,37.30930881,이동728
174,126.8470891,37.30612653,굿모닝오피스텔교차로
382,126.8509136,37.30727571,이동737
282,126.8197191,37.30499996,화정16교삼거리
14,126.8324627,37.30756565,그린시티교회
32,126.8275023,37.3145472,고잔동804
94,126.8365305,37.3142683,중앙역주차장교차로
87,126.8365792,37.31485706,중앙역주차장교차로
414,126.8427268,37.31773118,속성변화점
386,126.8277414,37.31804096,한국농어촌공사화안사업단
435,126.8232905,37.31284802,대성빌딩
420,126.840602,37.31406654,고잔동835
428,126.8548586,37.31481093,코웨이성포대리점
41,126.8561925,37.28464853,본오지하차도
314,126.8212636,37.29175537,사동1644
159,126.8573219,37.2937304,용신1교
136,126.855072,37.29398676,사동1439-1
304,126.8630849,37.29673565,반월농협본오지점
192,126.8667289,37.29789915,속성변화점
339,126.8471594,37.30153453,안산심인당
133,126.8357832,37.30356215,안산8교사거리
130,126.8592922,37.30433765,수인선지하차도
363,126.8584648,37.30549334,행복한이동어린이집
209,126.8489299,37.30684438,이동736
329,126.8602451,37.30805393,예지슬어린이집
283,126.8506674,37.31093014,이동726
11,126.8638281,37.31020243,안산서현교회
144,126.8461508,37.31161658,송호고등학교
409,126.846264,37.31297503,이동768
190,126.8468015,37.3094671,이동746
397,126.8503637,37.31077531,이동728
372,126.8448767,37.30375942,사동1598
8,126.8498139,37.28971107,사동1345-1
466,126.8258522,37.31719581,안산우체국교차로
206,126.8275948,37.3045614,속성변화점
246,126.8270467,37.30990228,검찰사거리
70,126.8271845,37.31142473,수원지방검찰청안산지청
253,126.8171151,37.31042843,영광장로교회
450,126.8322515,37.31236339,고잔동825
411,126.8217142,37.312937,화정12교
393,126.8364727,37.31356899,속성변화점
110,126.8417774,37.31876543,안산1교
262,126.8205232,37.31434675,상록교회
318,126.8218512,37.31501921,애스톤하우스
172,126.8234645,37.31493778,디오컨벤션웨딩홀
367,126.8247522,37.31380153,고잔동794
301,126.8202663,37.31510796,초지동766
126,126.8324277,37.3142748,고잔동818
146,126.8312029,37.31149178,고잔동819
312,126.8309404,37.30842546,고잔동820
5,126.8413644,37.31290834,고잔동842
344,126.8312655,37.28541518,GS더프레시
291,126.8415887,37.31185815,안산6교사거리
401,126.8417125,37.31289182,고잔동835
15,126.8328658,37.31233018,커피랑도서관안산고잔점
167,126.8289268,37.3125437,고잔동799
66,126.8330959,37.31505087,자동차부분정비안산조합
296,126.825736,37.31550784,고잔역사거리
33,126.8557206,37.28801046,명신2교
286,126.8209317,37.29759509,대우6차아파트교차로
187,126.8450857,37.31618871,터미널사거리
434,126.8493463,37.284895,속성변화점
63,126.8628351,37.29027496,아름다운교회
38,126.8539372,37.29074084,속성변화점
337,126.8399248,37.3028595,사동1622
86,126.8435427,37.30471856,의류타운사거리
457,126.8454657,37.30517209,KB국민은행안산사동지점
51,126.8455416,37.30620961,사동1593
25,126.861243,37.30527324,이동행정복지센터
102,126.849631,37.30571791,사동1602
334,126.8534287,37.30812962,물의나라
379,126.8463515,37.31394992,이동768
17,126.8481888,37.313325,이동771
98,126.8179307,37.31415926,초지동765
280,126.8190147,37.31444732,초지동768
95,126.8287781,37.31136678,고잔동806
309,126.8430317,37.31628403,안산시 상록구-안산시 단원구
3,126.8570334,37.31527103,이동616
252,126.8265934,37.29694071,사리사거리
267,126.8286833,37.2891914,사동1628
223,126.8293831,37.28717212,GS충전소해안로
117,126.8228799,37.2933694,사동1643
416,126.8586424,37.29369134,용신1교
427,126.8584568,37.30187065,용신고가삼거리
354,126.8633625,37.30251962,뉴라성관광호텔
150,126.8498433,37.30330584,서원호텔사거리
128,126.8448863,37.30468438,사동1595
199,126.8635236,37.305191,신성어린이집
332,126.8612879,37.3074459,신일축산
273,126.8642861,37.31234018,예샘교회
448,126.8482014,37.31037534,이동728
228,126.8492513,37.31010038,이동728
166,126.8371274,37.30194291,사동1613
217,126.8419579,37.31633928,안산교
203,126.8367794,37.31660643,중앙역사거리
358,126.8359106,37.30671787,속성변화점
143,126.8268643,37.30788871,새은혜교회
275,126.8179002,37.3137923,초지동765
405,126.8220518,37.31393751,고잔동794
394,126.840602,37.31379088,고잔동842
237,126.8371153,37.2999051,아고라홍보관
50,126.8345798,37.29888792,국제문화관
395,126.8328952,37.29815571,본관
19,126.8379812,37.29849166,셔틀콕
196,126.8385187,37.29767246,컨벤션센터
